39,36
46,39
39,39
46,36
53,39
53,36
60,36
74,36
67,36
81,36
95,36
88,36
88,27
95,27
102,36
109,36
109,30
109,27
109,33
116,36
123,36
130,36
137,30
137,36
137,33
144,36
151,36
172,36
179,36
186,36
193,36
200,36
207,36
214,36
214,30
214,33
221,30
221,36
221,33
228,36
235,36
242,36
249,36
256,36
256,33
263,33
263,36
270,36
277,36
284,36
291,33
298,30
305,27
312,24
319,24
319,24
326,24
333,24
340,24
347,24
347,27
347,30
347,33
347,33
347,36
368,24
368,27
368,30
368,36
368,33
389,27
389,36
389,33
389,30
396,33
396,36
403,36
417,36
417,36
424,36
410,36
431,36
438,36
445,36
452,36
459,36
459,33
459,30
459,27
445,30
466,30
466,33
466,36
466,27
473,33
473,36
480,36
487,36
487,36
494,36
508,36
508,36
501,36
515,36
522,36
529,36
536,36
543,36
550,36
557,36
564,36
571,36
578,36
585,36
592,36
599,36
606,36
613,36
620,36
627,36
634,36
641,36
648,36
655,36
662,36
669,36
676,36
683,36
529,33
529,30
557,30
557,33
382,15
340,15
354,9
368,9
