60,39
67,39
74,39
74,39
81,39
88,39
95,39
102,39
109,39
109,36
116,39
123,39
123,36
123,33
130,39
137,39
137,36
137,33
137,30
144,39
151,39
158,39
158,36
158,33
165,39
172,39
172,36
60,36
67,36
74,36
81,36
88,36
95,36
102,36
109,33
116,36
123,30
130,36
137,27
144,36
151,36
158,30
165,36
179,36
179,39
186,36
186,39
193,39
193,36
200,39
200,36
207,36
207,39
186,24
186,27
186,21
193,27
200,27
200,24
200,21
207,21
214,21
214,24
214,27
221,27
228,27
228,24
228,21
214,36
221,36
228,39
214,39
221,39
228,36
235,36
235,39
242,36
242,39
249,36
249,39
256,39
256,36
263,36
263,39
270,36
270,39
270,30
277,30
277,27
270,27
270,24
277,24
263,27
256,27
256,24
263,24
256,21
263,21
256,18
263,18
256,15
256,12
284,12
277,36
277,39
284,36
284,39
291,39
291,36
298,27
305,27
298,36
298,39
305,39
305,36
312,27
312,24
312,21
312,18
312,15
312,12
312,36
319,36
326,36
333,36
333,39
326,39
319,39
312,39
319,27
326,27
340,27
354,36
354,39
361,36
361,39
368,39
368,36
375,27
389,27
382,27
375,36
375,39
382,42
382,36
382,39
389,36
389,39
396,39
396,36
403,36
403,39
410,39
410,36
410,33
410,30
417,36
424,36
424,33
424,30
424,27
431,36
438,33
438,30
438,36
438,39
431,39
424,39
417,39
445,36
452,39
445,39
452,36
466,36
466,39
466,33
466,30
480,36
480,39
487,36
487,39
494,39
494,36
501,33
508,30
515,27
515,30
515,33
515,36
515,39
508,39
501,39
508,36
501,36
508,33
529,24
536,24
543,24
529,15
536,15
543,15
564,30
564,33
564,36
564,39
571,39
571,36
571,33
571,30
578,33
578,36
578,39
578,30
585,30
585,33
585,36
585,39
571,21
578,21
599,24
606,24
620,30
620,36
620,39
620,33
627,30
627,39
627,36
627,33
634,33
634,30
634,36
634,39
641,39
641,33
641,30
641,36
648,30
662,30
669,30
676,30
655,30
683,30
690,30
697,30
704,30
704,33
697,33
690,33
683,33
676,33
669,33
662,33
655,33
648,33
648,33
648,36
655,36
662,36
669,36
676,36
683,36
690,36
697,36
704,36
704,39
697,39
690,39
683,39
676,39
669,39
662,39
655,39
648,39
256,3
263,3
277,3
270,3
277,3
284,3
291,3
298,3
305,3
312,3
319,3
326,3
333,3
340,3
347,3
354,3
361,3
368,3
375,3
382,3
389,3
396,3
403,3
410,3
417,3
424,3
431,3
438,3
445,3
452,3
459,3
466,3
473,3
480,3
487,3
494,3
501,3
508,3
515,3
522,3
529,3
536,3
557,3
564,3
585,3
613,3
620,3
627,3
634,3
641,3
648,3
655,3
662,3
669,3
676,3
683,3
690,3
697,3
249,3
242,3
235,3
228,3
221,3
214,3
207,3
200,3
193,3
186,3
179,3
172,3
165,3
158,3
151,3
144,3
137,3
130,3
123,3
116,3
109,3
95,3
102,3
88,3
81,3
74,3
67,3
60,3
53,3
53,36
53,39
46,39
46,36
39,39
39,36
46,3
39,3
32,3
25,3
18,3
18,36
18,39
25,39
25,36
32,36
32,39
11,39
11,36
11,30
11,33
11,27
11,24
11,21
11,18
11,15
11,12
11,9
11,6
11,3
53,27
81,27
